,project_owner,restriction,basic_price,bidding_month,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
9606,전라남도교육청,전남,226094000,4,99.95592260869564,0.8107784494598995,46,100.26702,100.2686
9607,전라남도 장흥군,장흥,31225000,4,99.91642857142857,0.8935763994615804,14,98.98118000000001,98.9882
9608,전라남도교육청 전라남도장성교육지원청,장성,38214000,4,99.69162142857142,0.8127100712571852,21,100.99387,101.0708
9609,전라남도 고흥군,고흥,58630000,4,99.94134456521739,0.8062361652593051,46,100.48183,100.5916
9610,한국철도공사 회계통합센터,전남,12969000,4,98.19784920000001,0.8114960105275022,75,98.45554,98.5416
9611,한국전력공사 중부건설본부,전남,119505100,4,97.19294565217392,1.9752433291753664,46,94.87376,95.7999
9612,한국전력공사 광주전남지역본부,전남,215476159,4,96.76676821691177,1.6764747320441886,544,96.29265,96.2988
9613,전라남도 여수시,여수,29920000,4,99.96418876404493,0.7934431981614586,89,100.30364,100.3144
9614,한국전력공사 광주전남지역본부,전남,211225197,4,96.76663819521178,1.6780178373569958,543,96.83736999999999,96.8462
9615,전라남도 신안군,신안,51370000,4,99.70720918032785,0.8648913275941951,61,100.22985,100.2578
9616,전라남도 신안군,전남,148272000,4,99.70720918032785,0.8648913275941951,61,100.20652,100.2067
9617,한국전력공사 광주전남지역본부,목포,58193239,4,96.77015885608856,1.6775594206993822,542,94.85844,95.19200000000001
9618,한국철도공사 회계통합센터,광주/전남,25025000,4,98.18437356164384,0.8184826492075462,73,98.68970999999999,98.8985
9619,전라남도 순천시,전남,101243000,4,99.76923616822431,0.6953168425198576,107,99.65079,99.6522
9620,전라남도 광양시,전남,186269420,4,99.84755407407408,0.839949312649772,54,99.34278,99.3447
9621,전라남도교육청 전라남도해남교육지원청,해남,23584000,4,99.60224583333333,0.4584137898619597,12,100.13589,100.1387
9622,전라남도교육청,전남,298760000,4,99.93594866666669,0.8084136040492009,45,100.85475,100.8562
9623,한국전력공사 중부건설본부,전남,111070300,4,97.23859444444446,1.9728722030289598,45,95.13875,95.8312
9624,한국전력공사 광주전남지역본부,전남,374088593,4,96.77496107208871,1.6753789846489338,541,94.17215999999999,95.6949
9625,전라남도교육청 전라남도진도교육지원청,진도,35376000,4,100.05263411764706,0.56234889683873,17,99.88346,100.0977
9626,한국공항공사 여수지사,전남,57889000,4,100.25584,,1,100.13085,100.134
9627,한국전력공사 중부건설본부,전남,96768100,4,97.2759041860465,2.008730261345202,43,95.96674,96.0328
9628,한국전력공사 중부건설본부,전남,96768100,4,97.2759041860465,2.008730261345202,43,96.90613,97.417
9629,전라남도 영광군,영광,53790000,4,99.863735625,0.7244001713875051,16,100.06031999999999,100.0833
9630,한국전력공사 광주전남지역본부,전남,347348453,4,96.7748247037037,1.6769294140911992,540,96.8486,96.8659
9631,전라남도 장흥군,전남,115566000,4,99.86318923076922,0.9066586263166281,13,100.60854,100.6109
9632,전라남도교육청,전남,95755000,4,99.9492525,0.8127614184990462,44,99.35058000000001,99.3516
9633,전라남도 진도군,진도,87912000,4,99.81449424242425,0.7571075414035907,33,100.06805,101.7846
9634,전라남도 여수시,전남,46299000,4,99.95877795454545,0.7963370828125712,88,100.44034,101.4152
9635,한국농어촌공사 전남지역본부 곡성구례지사,전남,110056000,4,100.50644,0.808703883507433,2,100.10803,100.1109
9637,한국전력공사 광주전남지역본부,전남,69851563,4,96.77438602230482,1.679900053545622,538,97.24018000000001,97.245
9638,한국전력공사 광주전남지역본부,장흥,76423061,4,96.77881973929237,1.678312718927365,537,94.39348000000001,95.7313
9639,전라남도교육청,구례,34870000,4,99.94326720930232,0.8213984859874669,43,100.20662,100.2434
9640,전라남도교육청 전라남도담양교육지원청,담양,32857000,4,99.52395285714286,0.8079242404962415,21,100.42509,100.4341
9641,한국전력공사 광주전남지역본부,구례,31457390,4,96.78057589118198,1.6811634590042601,533,96.87814,97.8179
9642,한국전력공사 광주전남지역본부,구례,39671604,4,96.78057589118198,1.6811634590042601,533,97.17352,97.6735
9643,한국전력공사 광주전남지역본부,전남,99022957,4,96.78057589118198,1.6811634590042601,533,94.48548000000001,94.5378
9644,한국전력공사 광주전남지역본부,전남,93124387,4,96.78057589118198,1.6811634590042601,533,97.64211,97.6526
9645,한국전력공사 중부건설본부,전남,96191700,4,97.30708404761903,2.022520289355325,42,95.96635,95.9722
9646,전라남도교육청 전라남도진도교육지원청,진도,12067000,4,100.01042312499999,0.5522764790419001,16,100.72801,100.9985
9647,한국전력공사 광주전남지역본부,장성,53424664,4,96.78514651600754,1.6810319830859373,531,96.77758,96.8785
9648,한국전력공사 광주전남지역본부,장흥,35221203,4,96.78514651600754,1.6810319830859373,531,94.35656999999999,94.7909
9649,전라남도 구례군 상하수도사업소,구례,32215000,4,99.63558499999999,1.1129931446554386,2,100.72241,100.7425
9650,전라남도 장성군,장성,60511000,4,99.94462093749999,0.8191783204798903,32,98.86735,99.0093
9651,전라남도교육청 전라남도진도교육지원청,진도,14586000,4,100.07478666666665,0.5057455543575065,15,99.04496999999999,99.05
9652,국군재정관리단,전남,551028190,4,98.60753181818183,0.7808949261433056,11,98.88448000000001,98.8859
9653,전라남도 구례군,구례,86570000,4,99.76141399999999,0.4454655574215457,10,98.45232,98.9345
9654,한국전력공사 광주전남지역본부,고흥,43468934,4,96.79065195445921,1.6845885749536662,527,96.05863000000001,96.06700000000001
9655,한국전력공사 광주전남지역본부,고흥,34740588,4,96.79065195445921,1.6845885749536662,527,95.55776,95.8702
9656,한국전력공사 광주전남지역본부,전남,133967048,4,96.79065195445921,1.6845885749536662,527,97.43125,97.4785
9657,한국전력공사 광주전남지역본부,전남,164941246,4,96.79065195445921,1.6845885749536662,527,95.19158,95.2051
9658,전라남도교육청 전라남도목포교육지원청,목포,22720000,4,99.88985216216216,0.6611590038255861,37,99.71070999999999,99.7266
9660,한국전력공사 광주전남지역본부,전남,238357764,4,96.73651007054673,1.665442469984027,567,96.52198,96.5244
9661,전라남도 진도군,진도,30007000,4,99.82195176470589,0.7468150182810499,34,99.54468,99.5835
9662,전남개발공사,전남,470404000,4,99.994806,0.5954745799817505,10,100.38750999999999,100.3886
9663,한국전력공사 광주전남지역본부,전남,107456144,4,96.7389751236749,1.6658800544584156,566,95.34129,95.3436
9664,전라남도 순천시,순천,87120000,4,99.77014736363637,0.6980699214678462,110,99.23378000000001,99.2354
9665,한국공항공사 여수지사,전남,42147000,4,100.193345,0.08838127658051438,2,100.34806,100.3482
9666,전라남도교육청 전라남도강진교육지원청,강진,52041000,4,100.13018333333333,0.6356118019383645,21,98.87756,98.9033
9667,전라남도 광양시,광양,26587000,4,99.88569065573769,0.8241876436202068,61,100.94886,100.9552
9668,전라남도 여수시,여수,72294000,4,99.96796044444444,0.7897840154643215,90,100.75504000000001,100.7621
