,project_owner,restriction,basic_price,competitors,bidding_month,bidding_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
0,전라남도 진도군,진도,39563000,21,6,2Q,101.64735999999999,98.16086,100.1768661904762,0.7228643217663286,42,99.85965,99.9422
1,전라남도 곡성군,곡성,83160000,23,6,2Q,101.08700999999999,98.10806,99.88828319444444,0.7066601052318376,72,98.68855,99.06968
2,전라남도 곡성군,곡성,25355000,23,6,2Q,101.08700999999999,98.10806,99.88828319444444,0.7066601052318376,72,100.96332,100.9727
3,전라남도 곡성군,곡성,36454000,23,6,2Q,101.08700999999999,98.10806,99.88828319444444,0.7066601052318376,72,99.3454,99.4285
4,전라남도 순천시,순천,36993000,114,6,2Q,101.69255,98.03514,99.8392373263889,0.7039995021434766,288,99.6946,99.7098
5,전라남도 순천시,순천,46966000,115,6,2Q,101.69255,98.03514,99.8392373263889,0.7039995021434766,288,99.98786,100.00227
6,전라남도 구례군,구례,49830000,21,6,2Q,101.40652,98.69256,99.82867470588235,0.6795729363278846,34,99.51906,99.63302
7,전라남도 구례군,구례,26257000,21,6,2Q,101.40652,98.69256,99.82867470588235,0.6795729363278846,34,99.45262,99.48911
8,전라남도 완도군,완도,47200000,24,6,2Q,101.25780999999999,97.92143,99.7447866666667,0.60718429786754,102,101.11006,101.98899999999999
10,해양환경공단 여수지사,전남,118734000,1105,6,2Q,0.0,0.0,0.0,0.0,0,99.1383,99.1405
11,한국전력공사 광주전남지역본부,전남,317525726,129,6,2Q,101.4517,93.28509,98.32488355648535,2.0238400319674787,1195,100.2949,100.30239
12,한국전력공사 광주전남지역본부,전남,116116019,362,6,2Q,101.4517,93.28509,98.32488355648535,2.0238400319674787,1195,99.46985,99.48100000000001
13,한국전력공사 광주전남지역본부,전남,447422873,290,6,2Q,101.4517,93.28509,98.32488355648535,2.0238400319674787,1195,100.00949,100.0188
14,전라남도교육청,전남,162921000,1144,6,2Q,101.93498000000001,97.97977,99.90192072727272,0.743631064820237,220,99.71302,99.714
15,전라남도 담양군,전남,91630000,1145,6,2Q,101.56900999999999,98.38801,99.99090513513514,0.8140810728234831,74,100.5673,100.5678
16,전라남도 담양군,전남,132933000,1154,6,2Q,101.56900999999999,98.38801,99.99090513513514,0.8140810728234831,74,100.48578,100.49072
17,국토교통부 익산지방국토관리청 광주국토관리사무소,전남,37820000,1120,6,2Q,101.09251,98.67132,100.03462666666667,0.571689059911676,48,99.83586,99.83599
18,국토교통부 익산지방국토관리청 광주국토관리사무소,전남,17126000,1060,6,2Q,101.09251,98.67132,100.03462666666667,0.571689059911676,48,100.21473,100.21536
19,전라남도교육청 소림학교,영암,34512000,50,6,2Q,100.90185,99.15133,100.03157,0.9036313117269289,4,99.70944,99.7462
20,전라남도교육청 전라남도목포교육지원청,전남,171815000,1156,6,2Q,101.77103000000001,98.06401,99.97001268965516,0.8484134407857473,145,100.84778,100.85188000000001
21,한국철도시설공단,전국/전남,6009074000,619,6,2Q,101.36836,98.84846999999999,100.319573125,0.696636919276893,32,98.42344,98.63821999999999
22,제1989부대,전남,111946000,954,6,2Q,99.65259,97.48219,98.66968073825502,0.43577628189351647,149,99.16351999999999,99.16418
23,전라남도 곡성군,곡성,28379090,22,6,2Q,101.08700999999999,98.10806,99.89366859154929,0.7102002033336313,71,99.50591999999999,99.53912
24,전라남도 해남군 농업기술센터,전남,316392920,1119,6,2Q,101.59453,100.68244,101.138485,0.6449450240524426,2,97.99327,97.99965999999999
25,전라남도교육청,전남,117012000,1160,6,2Q,101.93498000000001,97.97977,99.90105497716897,0.7452235553201564,219,100.09151999999999,100.0934
26,전라남도교육청,전남,199364000,1151,6,2Q,101.93498000000001,97.97977,99.90424321100917,0.7454401680550972,218,99.20602,99.2113
27,전라남도교육청,전남,193660000,1154,6,2Q,101.93498000000001,97.97977,99.90516714285714,0.7470386096510624,217,99.70375,99.70707
28,전라남도 화순군,전남,180989000,1120,6,2Q,101.76079,98.38954,100.18084983050848,0.7692693160877461,59,99.27726,99.27875
30,한국전력공사 광주전남지역본부,광주/전남,696546467,75,6,2Q,101.4517,93.28509,98.32238046102263,2.0246120786855113,1193,99.81798,99.8352
31,전라남도교육청 전라남도보성교육지원청,보성,33418000,28,6,2Q,101.34208000000001,98.22698000000001,99.80894180000001,0.7406020267672746,50,100.48566,100.49918000000001
32,전라남도 완도군,전남,120901000,1155,6,2Q,101.25780999999999,97.92143,99.74388564356437,0.6101441331888978,101,99.83579,99.83649
33,전라남도 함평군,함평,22092000,27,6,2Q,101.29728,98.01126,99.78406036363636,0.8203023607543282,55,101.27953000000001,112.81357
34,전남대학교 본부 행정본부,여수,27901000,104,6,2Q,100.94351,98.9711,99.97298482758619,0.5039676951850665,29,100.72049,100.72898
35,전라남도 곡성군,곡성,48400000,24,6,2Q,101.08700999999999,98.10806,99.88196585714284,0.7083993149889343,70,100.71285999999999,100.73179
37,전라남도 순천시,전남,357280000,49,6,2Q,101.69255,98.03514,99.83644540069686,0.7036301967323448,287,100.64052,100.73299999999999
38,전라남도교육청 전라남도영광교육지원청,영광,33132000,58,6,2Q,101.20518,98.42135999999999,99.89648366666667,0.6599025867018882,90,98.76705,98.96557
40,전라남도교육청 전라남도담양교육지원청,담양,33891000,53,6,2Q,101.55381,98.18434,99.8382024050633,0.7588687037686602,79,99.03586999999999,99.17438
41,전라남도 함평군,함평,75783000,25,6,2Q,101.29728,98.01126,99.76275944444444,0.8125060975641539,54,100.93431,101.09698
42,전라남도 구례군,구례,52624000,21,6,2Q,101.40652,98.69256,99.82539636363637,0.6898364995318542,33,99.93686,100.12149000000001
43,전라남도 장성군,장성,50160000,75,6,2Q,101.50045,98.09334,99.82028489130435,0.7730658656988935,92,100.05487,100.08601999999999
44,전라남도 목포시,전남,148060000,1170,6,2Q,101.63908,97.72431,99.87702888888887,0.7235629656518452,54,99.54352,99.5457
46,전라남도 나주시,나주,88000000,118,6,2Q,101.56877,98.22476999999999,99.88366367088608,0.717775678681149,158,99.14531,99.1538
47,전라남도 무안군,무안,36630000,49,6,2Q,101.22651,98.20251,99.7999111235955,0.7084965962185483,89,99.08244,99.19375
48,전라남도교육청 전라남도완도교육지원청,완도,59197000,24,6,2Q,101.89078,98.29731,99.81957492753624,0.7678655966639396,69,99.52708,99.58839
49,전라남도교육청 전라남도신안교육지원청,신안,56397000,27,6,2Q,101.23170999999999,97.89407,99.76882930232556,0.8003025749931612,86,99.52754,99.5419
50,한국수력원자력(주) 한빛원자력본부,고창/영광,27086723,21,6,2Q,100.99892,98.60148000000001,100.10088214285715,0.6802996777798427,14,99.56868,99.58958
51,한국전기안전공사 전남서부지사,목포,87838970,87,6,2Q,100.03156,99.0668,99.71406,0.43902971623038384,4,99.85276999999999,99.86469
52,전라남도 여수시,전남,419870000,1054,6,2Q,101.93328000000001,97.83553,99.9284693939394,0.7744576102819223,264,99.20575,99.2107
53,전라남도 화순군,전남,112750000,1161,6,2Q,101.477,98.38954,100.15360948275863,0.7467322639608378,58,101.76079,101.79559
54,전라남도 순천시,순천,34430000,117,6,2Q,101.69255,98.03514,99.83609515789475,0.7017394892460571,285,98.95366999999999,98.95639
55,전라남도 순천시,순천,47522000,118,6,2Q,101.69255,98.03514,99.83609515789475,0.7017394892460571,285,100.81904,100.84249
56,전라남도교육청 전라남도곡성교육지원청,곡성,83160000,23,6,2Q,101.34109000000001,97.95035,99.63159647058824,0.8183916660017418,34,100.40007,100.4596
57,전라남도 완도군,완도,30813000,23,6,2Q,101.25780999999999,97.92143,99.74695290000004,0.6124348235770797,100,99.43715999999999,99.5045
58,전라남도 구례군,구례,53404000,21,6,2Q,101.40652,98.69256,99.857734375,0.6749831984763783,32,98.79058,98.79679
59,전라남도 목포시,목포,61000000,89,6,2Q,101.63908,97.72431,99.87751339622639,0.730478327378036,53,99.85135,99.87559
60,제1989부대,장성,33390000,74,6,2Q,99.65259,97.48219,98.65761465753424,0.43088961165631495,146,98.96721,99.00140999999999
61,제1989부대,여수/완도/해남,70079000,145,6,2Q,99.65259,97.48219,98.65761465753424,0.43088961165631495,146,99.36863000000001,99.3697
62,국방부 국군지휘통신사령부,장성,21519091,73,6,2Q,100.12474,99.2455,99.68512000000001,0.6217165662904571,2,100.16547,100.19069
63,한국전기안전공사 전남서부지사,목포,87838970,88,6,2Q,99.92432,99.0668,99.60822666666667,0.4710801109507058,3,100.03156,100.04581
64,전라남도 담양군,담양,71500000,51,6,2Q,101.56900999999999,98.38801,99.98099520547946,0.8152081437841324,73,100.71433,100.8826
65,전라남도 보성군,보성,49896000,29,6,2Q,101.88301,98.09583,99.90372188888888,0.703642082464866,90,99.08705,99.22285
66,전남대학교 본부 행정본부,여수,29442000,98,6,2Q,100.94351,98.9711,99.95955928571426,0.5079070043337884,28,100.3489,100.35565
67,제1989부대,광주/담양/화순,8820000,328,6,2Q,99.65259,97.48219,98.64163028169014,0.4256381875464092,142,99.33436999999999,99.3356
68,제1989부대,고흥/광양/구례/순천/여수,8735000,152,6,2Q,99.65259,97.48219,98.64163028169014,0.4256381875464092,142,99.16488000000001,99.16769000000001
69,제1989부대,무안/완도/장흥/진도/해남,10053000,81,6,2Q,99.65259,97.48219,98.64163028169014,0.4256381875464092,142,99.06662,99.07033
70,전라남도 영암군,영암,24167000,53,6,2Q,101.47525999999999,97.96727,99.94662739130435,0.7290469728363947,92,100.34034,100.36521
71,전라남도 보성군,보성,49093000,30,6,2Q,101.88301,98.09583,99.89788595505617,0.7054348954267329,89,100.42312,100.49991
72,전라남도 나주시,나주,49550000,116,6,2Q,101.56877,98.22476999999999,99.88435375796179,0.7200199832193177,157,99.77532,99.7891
73,전라남도 곡성군,곡성,14113000,24,6,2Q,101.08700999999999,98.10806,99.88179304347825,0.7135876366071253,69,99.89389,100.08275
74,한국전력공사 광주전남지역본부,전남,278182048,234,6,2Q,101.4517,93.28509,98.32159862416107,2.0252816851407034,1192,99.25433000000001,99.27299000000001
75,전라남도교육청 전라남도보성교육지원청,보성,42504000,28,6,2Q,101.34208000000001,98.22698000000001,99.7929393877551,0.739491486404137,49,100.59306,100.77483000000001
76,전라남도 광양시,광양,74113000,106,6,2Q,101.8128,97.76451,99.87924170984456,0.8093752718768394,193,99.48031999999999,99.50109
77,전라남도 완도군,완도,29469000,24,6,2Q,101.25780999999999,97.92143,99.74006010101012,0.6116405606177918,99,100.42934,100.46653
78,과학기술정보통신부 우정사업본부 우정사업정보센터,광주/전남,51744000,248,6,2Q,100.74628,99.63447,100.293184,0.46818931919091,10,100.21736,100.2283
79,전라남도,전남,94073000,1141,6,2Q,101.73653,97.82026,99.82468510067113,0.737002729088073,149,100.58327,100.5892
81,한국전력공사 광주전남지역본부,전남,136648364,323,6,2Q,101.4517,93.28509,98.319830604534,2.025211981543877,1191,100.42730999999999,100.4301
82,전라남도교육청 전라남도보성교육지원청,보성,38148000,30,6,2Q,101.34208000000001,98.22698000000001,99.786004375,0.7457050008959994,48,100.12581999999999,100.1653
83,전라남도교육청 전라남도광양교육지원청,광양,45416000,105,6,2Q,101.24564000000001,98.43009,99.90830666666665,0.7335703946649985,123,98.98615,99.0818
84,전라남도 구례군,구례,47740000,21,6,2Q,101.40652,98.69256,99.86252225806453,0.6855881035369535,31,99.70931,99.7574
85,전라남도 강진군,강진,40230000,25,6,2Q,101.46061999999999,98.34249,99.71438333333332,0.7567693450515006,63,99.39361,99.43896
86,전라남도교육청,나주,41899000,118,6,2Q,101.93498000000001,97.97977,99.90514800925926,0.748773840017237,216,99.9093,99.93818
87,전라남도 영암군,전남,178599000,1154,6,2Q,101.47525999999999,97.96727,99.94483747252745,0.7328827492392146,91,100.10951,100.11084
88,전라남도 완도군,전국/전남,1166740000,1080,6,2Q,101.25780999999999,97.92143,99.73854795918368,0.6145992312335783,98,99.88825,99.88869
89,전라남도 광양시,전남,107525000,1152,6,2Q,101.8128,97.76451,99.88361005208333,0.8092069725642475,192,99.04052,99.04082
90,한국농어촌공사 전남지역본부 함평지사,전남,256960000,1098,6,2Q,100.4958,99.22879,100.010638,0.5378539749504524,5,99.94400999999999,99.94601999999999
91,광주지방조달청,전국/전남,1530166000,1101,6,2Q,101.30827,98.62801,99.94792050279328,0.6206465845954283,179,98.515,98.55011
92,한국도로공사 순천지사,전남,200134000,954,6,2Q,100.11725,99.24325,99.74516666666666,0.4512333330255325,3,100.8495,100.8502
93,전라남도 무안군,무안,26710000,38,6,2Q,101.22651,98.20251,99.80162704545454,0.7123707635777634,88,99.64891,99.7177
94,한국남부발전(주) 하동발전본부,남해/하동/광양,75779000,106,6,2Q,101.36001999999999,95.89923,99.7159938888889,1.2560151713964685,18,100.38573000000001,100.39379
95,전라남도 여수시,전남,141333000,1153,6,2Q,101.93328000000001,97.83553,99.92137038022813,0.7672799493854006,263,101.79551,101.95965
96,한국전력공사 광주전남지역본부,전남,165968188,366,6,2Q,101.4517,93.28509,98.31435275484414,2.026353802688063,1187,99.6412,99.65128
97,한국전력공사 광주전남지역본부,전남,290097828,316,6,2Q,101.4517,93.28509,98.31435275484414,2.026353802688063,1187,100.00264,100.02084
98,한국전력공사 광주전남지역본부,전남,138721317,366,6,2Q,101.4517,93.28509,98.31435275484414,2.026353802688063,1187,99.76248000000001,99.76588000000001
99,전라남도 순천시,순천,40870000,119,6,2Q,101.69255,98.03514,99.83825883802817,0.7020252346126322,284,99.22161,99.24136999999999
100,전라남도교육청,전남,402468000,1055,6,2Q,101.93498000000001,97.97977,99.90806846511629,0.7492871908413015,215,99.27725,99.2821
101,전라남도 장성군,장성,65076000,78,6,2Q,101.50045,98.09334,99.8089812222222,0.7744934617967446,90,100.81354,100.83705
102,전라남도 장성군,장성,46970000,77,6,2Q,101.50045,98.09334,99.8089812222222,0.7744934617967446,90,99.84436,99.8667
103,전라남도 장흥군,장흥,35273000,33,6,2Q,101.65008,97.76826,99.73017185714286,0.8877631981106725,70,99.77871999999999,99.82134
104,한국농어촌공사 전남지역본부 장흥지사,장흥,152670000,33,6,2Q,100.72527,99.19311,99.78336666666667,0.5358230404480561,9,100.43179,100.47193
105,순천대학교,순천,58498000,119,5,2Q,100.95743,99.17130999999999,100.20117428571427,0.4880572251444664,21,99.73909,99.7584
107,전라남도 순천시,순천,28490000,116,5,2Q,101.69255,98.03514,99.83552272084806,0.7017502606932161,283,100.61258000000001,100.61931
109,전라남도 무안군,무안,55009000,52,5,2Q,101.22651,98.20251,99.8226106976744,0.7069298357991666,86,98.84836999999999,98.913
110,전라남도 무안군,무안,82280000,52,5,2Q,101.22651,98.20251,99.8226106976744,0.7069298357991666,86,98.95029,98.99443000000001
111,전라남도 고흥군,고흥,87780000,41,5,2Q,102.09283,98.05379,99.89477638709678,0.7394957098686477,155,99.97405,99.9744
112,광주지방조달청,전국/전남,2003171000,1050,5,2Q,101.30827,98.62801,99.95020797752808,0.6216402094826263,178,99.54075,99.54104
113,한국철도시설공단,전국/전남,10049512000,116,5,2Q,101.36836,98.84846999999999,100.28963677419357,0.6869104089442212,31,101.2476,101.31699
114,전라남도 여수시 상하수도사업단 하수도과,전남,44000000,31,5,2Q,100.8023,98.89681,99.932755,0.6119143090706858,12,99.38414,99.49845
116,전라남도 여수시,여수,88000000,89,5,2Q,101.93328000000001,97.83553,99.922048129771,0.768669549801652,262,99.7438,99.7472
117,한국철도시설공단,전국/전남,9470945000,115,5,2Q,101.36836,98.84846999999999,100.27580600000002,0.6942492175183425,30,100.70456,100.7142
119,전라남도 순천시,전남,137936000,1149,5,2Q,101.69255,98.03514,99.83831964412812,0.7028998352772111,281,99.77552,99.7766
120,전라남도 순천시,순천,50873000,118,5,2Q,101.69255,98.03514,99.83831964412812,0.7028998352772111,281,99.10959,99.1119
121,한국철도공사 회계통합센터,전남,79680000,1162,5,2Q,101.09254,97.12189000000001,98.62401385093168,1.1000102673663212,161,99.88403000000001,99.88483000000001
122,전라남도 해남군,해남,78179000,46,5,2Q,102.16459,97.98751999999999,99.8628764102564,0.7593998805936327,117,100.03482,100.05116
123,전라남도 해남군,해남,56270000,46,5,2Q,102.16459,97.98751999999999,99.8628764102564,0.7593998805936327,117,99.78509,99.78711
124,전라남도 해남군,해남,48840000,46,5,2Q,102.16459,97.98751999999999,99.8628764102564,0.7593998805936327,117,99.06306,99.30988
125,전라남도 해남군,해남,46395000,46,5,2Q,102.16459,97.98751999999999,99.8628764102564,0.7593998805936327,117,99.76215,99.79785
126,전라남도 보성군,전국/전남,613525000,1156,5,2Q,101.88301,98.09583,99.89889034090908,0.7094135316048182,88,99.8095,99.80975
128,한국철도시설공단,전국/전남,9570990000,114,5,2Q,101.36836,98.84846999999999,100.2782327586207,0.7064082626159759,29,100.20543,100.22068
129,전라남도 여수시,전남,156874000,1153,5,2Q,101.93328000000001,97.83553,99.91601561538462,0.7671252398468225,260,100.17878,100.179
130,전라남도 여수시,여수,88000000,109,5,2Q,101.93328000000001,97.83553,99.91601561538462,0.7671252398468225,260,101.23376999999999,101.3941
132,한국동서발전(주) 호남화력본부,전남,38958700,28,5,2Q,0.0,0.0,0.0,0.0,0,100.08876,100.11253
133,한국전력공사 광주전남지역본부,전남,275078584,305,5,2Q,101.4517,93.28509,98.31018543074323,2.0269485504334157,1184,100.69943,100.71197
134,전라남도교육청 전라남도교육연수원,담양,40062000,51,5,2Q,100.19936,98.33551,99.4258925,0.7992162393401439,4,99.26264,99.5289
135,전라남도,전남,23320000,1039,5,2Q,101.73653,97.82026,99.82887578231293,0.7356440675511396,147,98.74656,98.74776
136,전라남도 영암군 문화시설사업소,영암,22551873,50,5,2Q,0.0,0.0,0.0,0.0,0,98.83214,98.85069
138,전남대학교 본부 행정본부,여수,49403000,112,5,2Q,100.94351,98.9711,99.97134615384614,0.5141552870413912,26,99.41535999999999,99.4474
139,전라남도,전남,106315000,1150,5,2Q,101.73653,97.82026,99.82887578231293,0.7356440675511396,147,100.28678000000001,100.28787
141,전라남도 곡성군,곡성,21791000,24,5,2Q,101.08700999999999,98.10806,99.87873029411764,0.7184361585633452,68,100.09006,100.1257
142,국군재정관리단,전남,704486940,943,5,2Q,100.68486999999999,97.63646,98.71684739130434,0.6091481383808729,23,99.47784,99.4786
143,한국전력공사 광주전남지역본부,전남,447553077,290,5,2Q,101.4517,93.28509,98.30770867061811,2.028803150374585,1181,99.42996,99.43249
144,한국전력공사 광주전남지역본부,전남,1082208506,251,5,2Q,101.4517,93.28509,98.30770867061811,2.028803150374585,1181,98.68406,98.91447
145,한국전력공사 광주전남지역본부,전남,229856267,316,5,2Q,101.4517,93.28509,98.30770867061811,2.028803150374585,1181,99.74159,99.74539
146,한국농어촌공사 전남지역본부 함평지사,함평,167970000,26,5,2Q,100.4958,99.22879,99.90766500000001,0.5612720133470633,4,100.42253000000001,100.53139
147,전라남도교육청 전라남도여수교육지원청,여수,33250000,106,5,2Q,101.55138000000001,98.0094,99.88970988950274,0.7990763839305624,181,101.82141999999999,101.88439
148,전라남도 나주시,나주,46000000,119,5,2Q,101.56877,98.22476999999999,99.88681865384616,0.7216740518884852,156,99.49983,99.5127
149,전라남도 완도군,전남,94490000,1137,5,2Q,101.25780999999999,97.92143,99.74085206185568,0.6173663701410379,97,99.51505,99.5162
150,한국철도공사 회계통합센터,광주/충북/충남/전북/전남,313456000,61,5,2Q,101.09254,97.12189000000001,98.60032836477987,1.0862287150369048,159,100.50701,100.53099
151,국군재정관리단,전남,599587310,947,5,2Q,100.68486999999999,97.63646,98.70265363636364,0.619577885611265,22,99.02911,99.03111
153,전라남도 여수시,여수,55460000,109,5,2Q,101.93328000000001,97.83553,99.91860034749034,0.7674752876749449,259,99.24656999999999,99.26353
154,한국전력공사 광주전남지역본부,전남,1078523966,146,5,2Q,101.4517,93.28509,98.30588496183206,2.030038926923115,1179,99.44582,99.4525
155,한국전력공사 광주전남지역본부,전남,121616995,355,5,2Q,101.4517,93.28509,98.30588496183206,2.030038926923115,1179,99.31975,99.35
156,전라남도 순천시,전남,155540000,1150,5,2Q,101.69255,98.03514,99.83541628571429,0.7024684017734164,280,100.65126,100.6571
157,전라남도 나주시 농업기술센터,나주,34980000,113,5,2Q,101.52243,98.87008,99.99742916666668,0.9100319469562922,12,100.87521,100.92279
158,전라남도 목포시,전남,210172000,1135,5,2Q,101.63908,97.72431,99.88718615384616,0.7341697856019408,52,99.37453000000001,99.37626
159,목포대학교,목포/무안,84849000,140,5,2Q,101.24101,98.50738,99.9947136,0.6461772809111037,25,100.60531,100.60619
161,목포대학교,목포/무안,50046000,139,5,2Q,101.24101,98.50738,99.9947136,0.6461772809111037,25,100.60309000000001,100.60669
162,전라남도 진도군,진도,85250000,21,5,2Q,101.64735999999999,98.16086,100.13227282051278,0.7195692593341358,39,101.22903000000001,101.60072
163,전라남도 진도군,진도,58758000,22,5,2Q,101.64735999999999,98.16086,100.13227282051278,0.7195692593341358,39,100.9251,101.30218
164,전라남도 진도군,진도,52954000,22,5,2Q,101.64735999999999,98.16086,100.13227282051278,0.7195692593341358,39,100.11561,100.1378
165,한국전력공사 광주전남지역본부,전남,486247671,293,5,2Q,101.4517,93.28509,98.30338327952421,2.0308543214150427,1177,99.72445,99.72669
166,한국전력공사 광주전남지역본부,전남,78353000,1045,5,2Q,101.4517,93.28509,98.30338327952421,2.0308543214150427,1177,99.8318,99.83296
167,전라남도 순천시,순천,69905000,118,5,2Q,101.69255,98.03514,99.84089071942445,0.701903137822221,278,98.93233000000001,99.03998
168,전라남도 순천시,순천,48013000,116,5,2Q,101.69255,98.03514,99.84089071942445,0.701903137822221,278,99.21661,99.24038
169,한국수자원공사 전남중부권지사,전남,14531000,95,5,2Q,100.12007,98.8137,99.71437,0.46642018481193526,8,99.88748000000001,99.8991
170,전라남도 보성군,전남,229475000,1130,5,2Q,101.88301,98.09583,99.89812747126435,0.7134898025268548,87,99.96526,99.96611
171,한국철도시설공단,전국/전남,9201728000,500,5,2Q,101.36836,98.84846999999999,100.27026925925928,0.7226224152079509,27,99.95518,99.9572
172,전라남도교육청 전라남도무안교육지원청,무안,27434000,50,5,2Q,101.47861,98.11528,99.83622166666667,0.6732731546010209,66,99.45841999999999,99.5066
173,전라남도 담양군,전남,184805000,1144,5,2Q,101.56900999999999,98.38801,99.98690267605635,0.8246860152826262,71,99.49678,99.49846
174,전라남도 담양군,전남,217338000,1140,5,2Q,101.56900999999999,98.38801,99.98690267605635,0.8246860152826262,71,100.04578000000001,100.04656
175,전라남도 구례군,전남,109560000,1141,5,2Q,101.40652,98.69256,99.85507166666667,0.6960307640599047,30,100.08604,100.09321
177,전라남도 곡성군,곡성,31702000,24,5,2Q,101.08700999999999,98.10806,99.89512424242425,0.7192791808728445,66,98.91915,99.09769
178,전라남도 영암군,영암,87714000,53,5,2Q,101.47525999999999,97.96727,99.94891325842698,0.718717889736134,89,98.57679,98.7421
179,전라남도 영암군,영암,27159000,52,5,2Q,101.47525999999999,97.96727,99.94891325842698,0.718717889736134,89,100.95014,100.99592
180,전라남도 나주시,전남,189992000,1131,5,2Q,101.56877,98.22476999999999,99.8839044516129,0.723091901552696,155,100.33851999999999,100.34051
181,한국도로공사 순천지사,전남,310090000,1004,5,2Q,99.875,99.24325,99.559125,0.4467147090145991,2,100.11725,100.11936999999999
182,한국철도시설공단,전국/전남,7115086000,225,5,2Q,101.36836,98.84846999999999,100.28028038461538,0.7350212443758682,26,100.00998,100.0131
183,한국수력원자력(주) 한빛원자력본부,전국/전북/고창/전남/영광,554813600,88,5,2Q,100.99892,98.60148000000001,100.06755923076922,0.6960845059505013,13,100.53408,100.56299999999999
184,육군상무대근무지원단,전남,151957000,994,5,2Q,101.49575,97.72463,98.64659855555557,0.5603838536750392,90,99.19625,99.19706
186,한국수자원공사 여수권지사,전남,21868000,104,5,2Q,100.94711,99.1237,99.94378214285715,0.5904602571420745,14,99.55875,99.5988
187,한국수자원공사 영산강보관리단,전남,334190000,936,5,2Q,100.49325,99.09321,99.93518,0.7419416472337997,3,99.29144000000001,99.29666999999999
188,전라남도 곡성군,곡성,22283000,23,5,2Q,101.08700999999999,98.10806,99.88394338461539,0.7190734643715938,65,100.62188,100.68309
189,전라남도 광양시,광양,37642000,106,5,2Q,101.45829,97.76451,99.87350958115182,0.799106678825163,191,101.8128,111.68981000000001
190,광주지방조달청,전국/전남,3586506000,1008,5,2Q,101.30827,98.62801,99.95161875706216,0.6231179070952496,177,99.7005,99.70156999999999
191,한국철도시설공단,전국/전남,6923957000,564,5,2Q,101.36836,98.84846999999999,100.26567640000002,0.7463180762856213,25,100.64538,100.6515
192,제1989부대,광주/전남,14846180,1232,5,2Q,99.65259,97.48219,98.64175742857144,0.4286880480322657,140,98.63273000000001,98.6336
193,한국전력공사 광주전남지역본부,전남,1056187000,36,5,2Q,101.4517,93.28509,98.30150465136055,2.0306949355192936,1176,100.51265,100.54382
194,전라남도 순천시,순천,81136000,119,5,2Q,101.69255,98.03514,99.8387132129964,0.7022322418623462,277,100.44406,100.46369
195,전라남도교육청 광양하이텍고등학교,광양,24849000,106,5,2Q,99.86381,99.60053,99.73217,0.18616707335079044,2,99.83046999999999,99.83189
197,전라남도 장성군,장성,26700000,75,5,2Q,101.50045,98.09334,99.81210786516853,0.7783101301325724,89,99.53071,99.55301999999999
198,전라남도교육청 전라남도순천교육지원청,순천,26248000,117,5,2Q,102.01254,98.12038000000001,99.84245454545453,0.7286484603416518,187,98.68266,98.68948
199,전라남도교육청 전라남도순천교육지원청,순천,24112000,117,5,2Q,102.01254,98.12038000000001,99.84245454545453,0.7286484603416518,187,99.81098,99.81644
202,전라남도교육청 전라남도강진교육지원청,강진,31515000,25,5,2Q,101.56025,98.74799999999999,100.01843794871796,0.6593989409024481,78,100.57813,100.79422
203,전라남도 강진군,강진,23870000,25,5,2Q,101.46061999999999,98.34249,99.71729573770492,0.7653296933881044,61,99.20883,99.20898000000001
205,전라남도 보성군,전남,113784000,1132,5,2Q,101.88301,98.09583,99.89079116279066,0.714366277570825,86,100.52905,100.52916
206,전라남도교육청 전라남도함평교육지원청,함평,66990000,26,5,2Q,101.37354,98.63285,99.99318913043479,0.7444681858192504,46,99.37057,99.41149
207,한국철도공사 회계통합센터,전남,235201000,30,5,2Q,101.09254,97.12189000000001,98.58729234177216,1.0771331552412438,158,100.66001999999999,100.7495
208,전라남도 곡성군,곡성,67870000,22,5,2Q,101.08700999999999,98.10806,99.89326523809524,0.7258687211194181,63,99.94205,99.96921
209,전라남도 곡성군,곡성,71093000,22,5,2Q,101.08700999999999,98.10806,99.89326523809524,0.7258687211194181,63,99.23855999999999,99.25657
211,전라남도 보성군,보성,35585000,30,5,2Q,101.88301,98.09583,99.87839388235291,0.7092386725098665,85,100.94456,101.95023
212,전라남도 담양군,전남,157165000,1127,5,2Q,101.56900999999999,98.38801,99.9789636231884,0.834733757400545,69,100.07101999999999,100.073
213,전라남도 담양군,담양,86570000,51,5,2Q,101.56900999999999,98.38801,99.9789636231884,0.834733757400545,69,100.45058,100.5372
215,한국도로공사 광주전남본부,전남,191620000,1002,5,2Q,101.32475,98.493,99.89191477272729,0.7224998107813037,44,99.9095,99.90973000000001
216,전라남도 화순군,화순,30558000,63,5,2Q,101.477,98.38954,100.15094228070174,0.7530912300787276,57,100.30564,100.30755
217,전라남도교육청,담양,24541000,51,5,2Q,101.93498000000001,97.97977,99.91264539906105,0.7479432276214353,213,100.15199,100.1589
218,전라남도 강진군,강진,72149000,25,5,2Q,101.46061999999999,98.34249,99.72227033898305,0.7619973357722588,59,100.41379,100.444
219,전라남도 강진군,강진,80410000,25,5,2Q,101.46061999999999,98.34249,99.72227033898305,0.7619973357722588,59,98.7273,99.1057
220,한국철도공사 회계통합센터,전남,280283000,28,5,2Q,101.09254,97.12189000000001,98.5830711464968,1.079268153345998,157,99.25001999999999,99.28573
