,project_owner,restriction,basic_price,competitors,bidding_month,bidding_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
7175,전남대학교,광주,291383000,356,10,4Q,100.92482,99.55613000000001,100.2369761111111,0.40296874735245825,18,99.90550999999999,99.9083
7176,한국전력공사 광주전남지역본부,광주,174172099,263,9,3Q,100.86272,93.28509,96.53633681081081,1.5229771069799232,555,94.63344000000001,94.6372
7178,안전행정부 정부청사관리소 광주청사관리소,광주,115668000,374,9,3Q,0.0,0.0,0.0,0.0,0,100.29556,100.2959
7179,경찰청 광주광역시지방경찰청,광주,86332000,413,9,3Q,100.33788,99.44643,99.80422800000001,0.34592805591625264,5,99.78005999999999,99.7927
7180,광주지방조달청,광주,507997000,335,9,3Q,101.27775,98.6635,99.86807710526314,0.6083007242777558,76,99.82925999999999,99.8296
7182,광주광역시,광주,20834000,391,9,3Q,101.74056,98.28978000000001,99.82546717391304,0.7880941477802957,92,99.46373,99.4645
7183,광주광역시남구,광주,56439000,401,9,3Q,101.10954,98.45291,99.80326705882352,0.7159479228596571,17,99.01978000000001,99.0218
7184,광주광역시교육청 광주전자공업고등학교,광주,18348000,379,9,3Q,100.25795,99.24358000000001,99.750765,0.7172679056321878,2,99.35061,99.3525
7185,광주광역시교육청 광주광역시서부교육지원청 어등초등학교,광주,6490000,290,9,3Q,0.0,0.0,0.0,0.0,0,100.10978,100.1114
7186,전남대학교,광주,26996000,378,9,3Q,101.20408,98.54878000000001,100.0060842222222,0.5336468359168268,45,100.71370999999999,100.7305
7187,광주광역시 서구,광주,77494000,409,9,3Q,101.71828000000001,98.15077,99.602203,0.8235963074359368,20,99.15706,99.163
7188,한국도로공사 함평지사,광주/전남,233035000,1249,9,3Q,0.0,0.0,0.0,0.0,0,99.3975,99.399
7189,광주광역시교육청 광주광역시동부교육지원청,광주,10626000,343,9,3Q,101.84909,98.44306,99.9274637398374,0.7831639142034628,123,98.18769,98.3257
7190,광주광역시,광주,18225000,379,9,3Q,101.74056,98.28978000000001,99.83922032967033,0.7812799272226314,91,98.57393,98.57700000000001
7191,광주과학기술원,광주,30115000,381,9,3Q,100.95727,99.1771,100.07856285714286,0.4603900164984343,21,99.83969,99.8414
7193,광주광역시,광주,28424000,395,9,3Q,101.74056,98.28978000000001,99.85628244444446,0.7684188577359964,90,98.30363,98.3695
7195,법무부 광주지방교정청 광주교도소,광주,34634000,412,9,3Q,99.55461,99.55461,99.55461,,1,99.35893,99.3619
7197,광주광역시 광산구,광주,29819000,410,9,3Q,101.41305,98.09353,99.99762500000001,0.8155800917073647,34,99.91221999999999,99.9171
7198,광주광역시 광산구,광주,42739000,413,9,3Q,101.41305,98.09353,99.99762500000001,0.8155800917073647,34,100.32458000000001,100.3253
7199,한국광기술원,광주,34226000,408,9,3Q,100.61854,99.92613,100.18055000000001,0.3057402598066938,4,99.93696,99.94
7200,한국농어촌공사 전남지역본부,광주,26818000,398,9,3Q,99.74450999999999,99.74450999999999,99.74450999999999,,1,100.19138000000001,100.2063
7201,한국전력공사 광주전남지역본부,광주,39225551,50,9,3Q,100.86272,93.28509,96.5440465625,1.531766667185536,544,96.84213000000001,96.8893
7202,한국전력공사 광주전남지역본부,광주,156804525,286,9,3Q,100.86272,93.28509,96.54363169741697,1.5341231766703458,542,96.04059000000001,96.0407
7203,한국전력공사 자재처,광주/전남,212799831,1201,9,3Q,96.43021,96.43021,96.43021,0.0,2,97.17546,97.1901
7204,광주지방조달청,광주/전남,693906000,1235,9,3Q,101.27775,98.6635,99.86978064102564,0.6006813414551105,78,100.28725,100.2957
7205,광주광역시교육청 광주광역시동부교육지원청,광주,21791000,387,9,3Q,101.84909,98.18769,99.91343330645162,0.79546775266687,124,99.01094,99.0183
7206,광주환경공단,광주,90728000,375,9,3Q,101.26589,98.90745,100.19360499999999,0.7801807850356798,10,100.47926,100.48200000000001
7207,광주광역시 상수도사업본부,광주,55892000,408,9,3Q,101.34336,98.24327,99.72840124999999,0.9894995293842589,16,98.88807,98.8898
7208,광주광역시 상수도사업본부,광주,72006000,407,9,3Q,101.34336,98.24327,99.70912599999998,1.0211153326758526,15,100.01753000000001,100.03299999999999
7209,광주광역시 광산구 보건소,광주,40502000,405,9,3Q,0.0,0.0,0.0,0.0,0,100.12258,100.1259
7210,광주광역시 동구,광주,85525000,405,9,3Q,101.94386999999999,98.22315,99.58042727272728,0.9590142436282233,11,100.57056,100.5965
7211,광주광역시교육청 광덕고등학교,광주,14729000,376,9,3Q,100.74645,99.11033,99.919714,0.6072856645187639,5,99.32191,99.3271
7212,광주광역시,광주,144683000,373,9,3Q,101.74056,98.28978000000001,99.84788921348316,0.7686125048604026,89,100.60328,100.6135
7214,광주광역시 광산구,광주,71181000,421,8,3Q,101.41305,98.09353,100.0102690625,0.839283219859543,32,99.91233000000001,99.9127
7215,광주광역시 광산구,광주,72369000,418,8,3Q,101.41305,98.09353,100.0102690625,0.839283219859543,32,99.67831,99.6823
7216,공군제1전투비행단,광주,98200000,306,8,3Q,101.39395999999999,98.6119,100.19604631578949,0.8380154576684288,19,100.21895,100.2195
7217,광주광역시,광주,38841000,394,8,3Q,101.74056,98.28978000000001,99.85352918604652,0.7689588136897147,86,99.7379,99.7387
7219,광주광역시교육청 광주광역시동부교육지원청,광주,29282000,392,8,3Q,101.84909,98.44306,99.9413241322314,0.7815133258222678,121,99.32023000000001,99.3208
7220,제1989부대,광주,15335000,323,8,3Q,99.35593,97.48219,98.4470244,0.38103467412607867,50,98.66299000000001,98.6635
7221,제1989부대,광주,13820000,316,8,3Q,99.35593,97.7947,98.46671489795918,0.35836085840673204,49,97.48219,97.6702
7222,광주지방조달청,광주,72918000,412,8,3Q,101.27775,98.6635,99.85112985714285,0.6120036136662589,70,100.42129,100.4226
7223,한국전력공사 광주전남지역본부,광주/전남,150919865,166,8,3Q,100.86272,93.28509,96.5536430075188,1.541155740648699,532,95.88667,95.8931
7225,광주광역시교육청 숭덕고등학교,광주,13310000,390,8,3Q,100.61401,99.99540999999999,100.24273333333333,0.3273985516665163,3,100.3903,100.3907
7226,광주광역시교육청,광주,75482000,416,8,3Q,101.60028,98.15535,99.87616305263157,0.7994243912927435,95,100.36355999999999,100.3678
7227,광주광역시 북구,광주,81593000,415,8,3Q,101.1324,98.5015,99.91972545454544,0.6087556073103704,33,99.83154,99.8359
7228,광주광역시 상수도사업본부,광주,59303000,410,8,3Q,101.34336,98.24327,99.76906071428571,1.0319181400782385,14,98.87004,98.8818
7229,광주광역시 각화동농산물도매시장관리사무소,광주,77264000,420,8,3Q,0.0,0.0,0.0,0.0,0,99.25955,99.26299999999999
7230,광주광역시 상수도사업본부,광주,59599000,413,8,3Q,101.34336,98.24327,99.83165384615383,1.0460265210590876,13,98.95535,98.9675
7231,한국공항공사 광주지사,광주,126698000,364,8,3Q,99.96155999999999,99.51553,99.75720333333332,0.22534438185437794,3,100.51504,100.5155
7232,제1989부대,광주,15892120,301,8,3Q,99.35593,97.7947,98.47757979166668,0.3539033477713725,48,97.9452,97.9457
7233,광주광역시,광주,30437000,406,8,3Q,101.74056,98.28978000000001,99.86292851851852,0.7774340859730662,81,99.82365,99.8269
7234,광주광역시,광주,52019000,408,8,3Q,101.74056,98.28978000000001,99.86292851851852,0.7774340859730662,81,99.1281,99.1285
7235,광주광역시,광주,33979000,409,8,3Q,101.74056,98.28978000000001,99.86292851851852,0.7774340859730662,81,99.41419,99.4201
7236,광주광역시,광주,17666000,395,8,3Q,101.74056,98.28978000000001,99.86292851851852,0.7774340859730662,81,100.80734,100.8247
7237,전남대학교 산학협력단,광주,53240000,412,8,3Q,0.0,0.0,0.0,0.0,0,100.30184,100.3023
7238,광주과학기술원,광주,156500000,367,8,3Q,100.95727,99.1771,100.07055199999999,0.47084617760390757,20,100.23878,100.2439
7239,광주광역시서부교육청 광주삼육초등학교,광주,12940000,379,8,3Q,0.0,0.0,0.0,0.0,0,101.48898,101.4998
7240,광주광역시,광주,27060000,398,8,3Q,101.74056,98.28978000000001,99.85220011494253,0.7645755570302554,87,100.56642,100.5696
7241,광주광역시,광주,48048000,398,8,3Q,101.74056,98.28978000000001,99.85220011494253,0.7645755570302554,87,98.75431,98.7648
7242,광주광역시교육청,광주,11605000,362,8,3Q,101.60028,98.15535,99.88124010416668,0.7967601556824654,96,98.96811,98.9707
7243,과학기술정보통신부 우정사업본부 전남지방우정청,광주,3377000,235,8,3Q,101.4076,98.48135,100.0386565625,0.5539848841399397,32,99.83269,99.836
7244,과학기술정보통신부 우정사업본부 전남지방우정청,광주,3938000,237,8,3Q,101.4076,98.48135,100.0386565625,0.5539848841399397,32,100.07681,100.0841
7245,한국전력공사 광주전남지역본부,광주,49141518,53,8,3Q,100.86272,93.28509,96.54506338888889,1.5367773283724093,540,96.07366,96.1207
