입찰공고번호,업무,업종코드,업종명,공고명,공고기관,수요기관,WTO품목번호,게시일시,입찰개시일시,입찰마감일시,예가방법,추첨번호공개여부,지역제한,참가가능지역,추정가격,기초금액,A값
20201006791-02,공사,0001,토목공사업,함박항 선착장 정비공사,경상남도 거제시,경상남도 거제시,건설공사,2020/10/08 20:02,2020/10/13 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],536297273,589927000,31399184
20201006845-00,공사,0001,토목공사업,탄천 송파둘레길 산책로 조성공사,서울특별시 송파구,서울특별시 송파구,건설공사,2020/10/08 17:51,2020/10/08 19:00:00,2020/10/16 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],507035454,557739000,29873520
20201006731-00,공사,0001,토목공사업,구만면 아름다운 거리 조성사업,경상남도 고성군 구만면,경상남도 고성군 구만면,건설공사,2020/10/08 17:21,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 고성군],51245455,56370000,0
20201006565-00,공사,0001,토목공사업,동촌교 재가설공사(토목),경상남도 밀양시,경상남도 밀양시,건설공사,2020/10/08 15:59,2020/10/13 09:00:00,2020/10/15 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 밀양시],388100000,426910000,0
20201006321-00,공사,0001,토목공사업,국도 19호선 청주 미원단구간 도로확포장공사,충청북도,충청북도,건설공사,2020/10/08 15:03,2020/10/09 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],9429090909,10372000000,396120515
20201006378-00,공사,0001,토목공사업,진천 신통도로 선형개량공사,충청북도,충청북도 도로관리사업소,건설공사,2020/10/08 14:59,2020/10/09 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],502332728,552566000,30228485
20201006295-00,공사,0001,토목공사업,신대 농어촌마을 하수도 증설사업(하수처리시설),전라북도 무주군,전라북도 무주군,건설공사,2020/10/08 14:22,2020/10/08 15:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],1462820000,1609102000,74069760
20201005628-00,공사,0001,토목공사업,용당캠퍼스 수해복구공사,부경대학교,부경대학교,건설공사,2020/10/08 14:09,2020/10/14 09:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[부산광역시],298419091,321690000,19876955
20201006034-00,공사,0001,토목공사업,통영여고 운동장개선공사 수의계약 안내 공고,경상남도교육청 경상남도통영교육지원청,경상남도교육청 경상남도통영교육지원청,건설공사,2020/10/08 11:38,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 통영시],107670000,118437000,0
20201005972-00,공사,0001,토목공사업,통영여중 외 1교(진남초) 운동장조성 및 기타공사 수의계약 안내 공고,경상남도교육청 경상남도통영교육지원청,경상남도교육청 경상남도통영교육지원청,건설공사,2020/10/08 11:31,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 통영시],152650000,167915000,0
20201005449-00,공사,0001,토목공사업,호명 오천리 체육공원 조성사업 소액수의 견적 제출 안내공고,경상북도 예천군 체육사업소,경상북도 예천군 체육사업소,건설공사,2020/10/07 20:06,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 예천군],147818182,162600000,0
20201005302-00,공사,0001,토목공사업,천북312호(낙신선) 농어촌도로 확포장공사,충청남도 보령시,충청남도 보령시,건설공사,2020/10/07 18:01,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 보령시],124261818,136688000,0
20201005235-00,공사,0001,토목공사업,동정지구 일반하천 정비사업,경상남도 창녕군,경상남도 창녕군,건설공사,2020/10/07 17:39,2020/10/08 10:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 창녕군],184154546,202570000,0
20201004339-00,공사,0001,토목공사업,엄사중학교 외부환경개선공사,충청남도교육청 충청남도논산계룡교육지원청,충청남도교육청 충청남도논산계룡교육지원청,건설공사,2020/10/07 16:59,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 논산시]  [충청남도 계룡시],37887273,41676000,0
20201004940-00,공사,0001,토목공사업,내성천(봉화2지구) 하천재해예방공사[수정공고],경상북도,경상북도 북부건설사업소,건설공사,2020/10/07 16:27,2020/10/12 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,12786000000,14064600000,679374940
20201004482-00,공사,0001,토목공사업,봉북샛길교 보수공사,전라남도 구례군,전라남도 구례군,건설공사,2020/10/07 14:11,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 구례군],145454545,160000000,0
20201004082-00,공사,0001,토목공사업,성환읍 성월리 도시계획도로(소로2-861호선) 개설공사,충청남도 천안시,충청남도 천안시,건설공사,2020/10/07 11:22,2020/10/08 14:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 천안시],378072728,415880000,0
20201003918-00,공사,0001,토목공사업,구캠프페이지 주변마을 리모델링사업(소로2-707호선 외 1개소),강원도 춘천시,강원도 춘천시,건설공사,2020/10/07 09:43,2020/10/12 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 춘천시],111079091,122187000,0
20201003909-00,공사,0001,토목공사업,2020년 아미동천 소하천 정비공사,강원도 평창군,강원도 평창군,건설공사,2020/10/07 09:37,2020/10/13 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],582236364,640460000,36492236
20201003891-00,공사,0001,토목공사업,계촌5리(깡촌축제장) 부지 조성공사,강원도 평창군,강원도 평창군 방림면,건설공사,2020/10/07 09:29,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 평창군],112521818,123774000,0
20201003753-00,공사,0001,토목공사업,함지1소하천 정비사업(총괄분),경상남도 합천군,경상남도 합천군,건설공사,2020/10/06 21:19,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],1872172455,2063880000,107765504
20201003610-00,공사,0001,토목공사업,용산마을 확포장공사(총괄분),경상남도 사천시,경상남도 사천시,건설공사,2020/10/06 19:08,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 사천시],251218182,276340000,0
20201003556-00,공사,0001,토목공사업,선남농공단지 노후공공시설물 정비공사,경상북도 성주군,경상북도 성주군,건설공사,2020/10/06 18:45,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 성주군],93500000,102850000,0
20201001954-00,공사,0001,토목공사업,포항 칠포2리 인공어초 설치공사,경상북도,경상북도 환동해지역본부,건설공사,2020/10/06 17:24,2020/10/08 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],321354546,353490000,0
20201003279-00,공사,0001,토목공사업,소명여자고등학교 가동(본관동) 보차도분리공사,경기도교육청 소명여자고등학교,경기도교육청 소명여자고등학교,건설공사,2020/10/06 17:18,2020/10/06 18:00:00,2020/10/12 18:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],76890000,84579000,3237348
20201002745-00,공사,0001,토목공사업,2020년 산청군 어도개보수사업 토목공사,한국농어촌공사 경남지역본부 진주.산청지사,한국농어촌공사 경남지역본부 진주.산청지사,건설공사,2020/10/06 14:19,2020/10/06 18:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 산청군],135115454,148627000,0
20201002723-00,공사,0001,토목공사업,2020년 진주시 어도개보수사업 토목공사,한국농어촌공사 경남지역본부 진주.산청지사,한국농어촌공사 경남지역본부 진주.산청지사,건설공사,2020/10/06 14:12,2020/10/06 18:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 진주시],144715454,159187000,0
20201001520-00,공사,0001,토목공사업,제주대입구~금천마을(중로2-1-46) 도로확장공사,제주특별자치도 제주시,제주특별자치도 제주시,건설공사,2020/10/06 11:03,2020/10/08 10:00:00,2020/10/14 15:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[제주특별자치도         ],5133727272,5647100000,275327839
20201001511-00,공사,0001,토목공사업,공사 수의견적 제출 안내공고[금산 군계획도로(중로3-추부3호선) 개설공사],충청남도 금산군,충청남도 금산군,건설공사,2020/10/06 10:55,2020/10/07 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 금산군],292181818,321400000,0
20201001814-00,공사,0001,토목공사업,목재옹벽(2구간)개선 공사,국립낙동강생물자원관,국립낙동강생물자원관,건설공사,2020/10/05 19:18,2020/10/05 20:00:00,2020/10/12 11:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],82401818,90642000,1581311
20201001809-00,공사,0001,토목공사업,대아3지구 급경사지 붕괴위험지역 정비사업,전라북도 완주군,전라북도 완주군,건설공사,2020/10/05 19:11,2020/10/12 14:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],1813947273,1995342000,84886775
20201001784-00,공사,0001,토목공사업,선원면 창리 제1공영주차장 조성공사,인천광역시 강화군,인천광역시 강화군,건설공사,2020/10/05 18:49,2020/10/07 10:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시 강화군],395580000,435138000,0
20201001070-00,공사,0001,토목공사업,공사 수의견적 제출 안내 공고[인삼약초특화농공단지 내 사면보강공사(5차)],충청남도 금산군,충청남도 금산군,건설공사,2020/10/05 15:10,2020/10/06 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 금산군],84696364,93166000,0
20201001012-00,공사,0001,토목공사업,강경선 채운-연무대간 신화구교 유도상화공사,한국철도공사 회계통합센터,한국철도공사 회계통합센터,건설공사,2020/10/05 14:55,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도],71300000,78430000,0
20201000507-00,공사,0001,토목공사업,[재난복구]황보천(구산제)외 1개지구 재해복구사업(태풍 미탁),경상북도,경상북도 북부건설사업소,건설공사,2020/10/05 14:53,2020/10/07 09:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],188090909,206900000,0
20201000317-00,공사,0001,토목공사업,[재난복구]나곡천(검성리) 재해복구사업(태풍 미탁),경상북도,경상북도 북부건설사업소,건설공사,2020/10/05 14:50,2020/10/07 09:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],115454546,127000000,0
20201000912-00,공사,0001,토목공사업,월치도로 굴곡개량공사,경상남도,경상남도 도로관리사업소,건설공사,2020/10/05 14:15,2020/10/07 14:00:00,2020/10/12 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],286454545,315100000,16954382
20201000326-00,공사,0001,토목공사업,2020년 동해시 대문어 산란서식장 조성사업 다기능삼각형어초 제작 및 설치,조달청 강원지방조달청,한국수산자원공단동해본부,건설공사,2020/10/05 13:26,2020/10/08 00:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],160140000,170869000,0
20201000370-00,공사,0001,토목공사업,대청로길 붕괴위험 사면 보수보강공사,대전광역시 대덕구,대전광역시 대덕구,건설공사,2020/10/05 13:03,2020/10/07 10:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],203709091,224080000,0
20200930293-01,공사,0001,토목공사업,오라·아라(1공구) 하수관로 정비사업,제주특별자치도,제주특별자치도,건설공사,2020/09/29 14:25,2020/10/06 14:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[제주특별자치도         ],6994630000,7694090000,407692331
20200928154-03,공사,0001,토목공사업,서울시립은평노인종합복지관(야외주차장 환경개선공사),시립은평노인종합복지관,시립은평노인종합복지관,건설공사,2020/09/28 13:36,2020/09/28 14:00:00,2020/10/12 15:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],216210000,237941000,4223922
20200920947-00,공사,0001,토목공사업,국립중앙과학관 중앙광장 관람환경 개선공사,조달청 대전지방조달청,과학기술정보통신부 국립중앙과학관,건설공사,2020/09/21 11:32,2020/10/11 00:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],240763636,259637000,0
20200917627-00,공사,0001,토목공사업,사천항공 국가산단진입도로 건설공사,조달청 경남지방조달청,국토교통부 부산지방국토관리청,건설공사,2020/09/17 13:28,2020/10/13 00:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],4660000000,4979949000,220500577
20200916180-00,공사,0001,토목공사업,진주항공 국가산단진입도로 건설공사,조달청 경남지방조달청,국토교통부 부산지방국토관리청,건설공사,2020/09/16 16:11,2020/10/13 00:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],7044545455,7486006000,386146859
20200911571-00,공사,0001,토목공사업,금호워터폴리스 산업단지 조성공사(1공구),조달청,대구도시공사,건설공사,2020/09/16 12:30,2020/10/30 00:00:00,2020/11/03 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,51910660000,55435580000,0
20200910643-00,공사,0001,토목공사업,"국도43호선 길음졸음쉼터(상,하) 설치공사",조달청 인천지방조달청,국토교통부 서울지방국토관리청 수원국토관리사무소,건설공사,2020/09/14 14:43,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],5818360000,6228697000,314906091
20200823898-01,공사,0001,토목공사업,정자항 정비사업,조달청 부산지방조달청,해양수산부 울산지방해양수산청,건설공사,2020/09/08 11:14,2020/10/14 00:00:00,2020/10/20 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,15658818182,17238927000,0
20200906058-00,공사,0001,토목공사업,가야 3단계 하수관로 정비사업,조달청 경남지방조달청,경상남도 함안군 상하수도사업소,건설공사,2020/09/07 17:32,2020/10/12 00:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,27776682727,29662037000,1522190417
20200905573-00,공사,0001,토목공사업,잠실대교 남단IC 연결체계 개선공사,조달청,서울특별시 도시기반시설본부,건설공사,2020/09/07 14:19,2020/10/26 00:00:00,2020/10/29 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,31146270000,32598789000,0
20200905395-00,공사,0001,토목공사업,밀양나노 국가산단 진입도로 건설공사,조달청 경남지방조달청,국토교통부 부산지방국토관리청,건설공사,2020/09/07 13:57,2020/10/16 00:00:00,2020/10/20 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,29797400000,32132443000,0
20200902832-00,공사,0001,토목공사업,경상대~내동 도로 확.포장공사,조달청 경남지방조달청,경상남도 진주시,건설공사,2020/09/03 17:34,2020/10/16 00:00:00,2020/10/20 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],5283054545,5641891000,264812885
20200826847-00,공사,0001,토목공사업,광암항 정비공사,조달청 경남지방조달청,해양수산부 마산지방해양수산청,건설공사,2020/09/01 17:18,2020/10/23 00:00:00,2020/10/27 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,26322770145,28460666000,0
20200822460-00,공사,0001,토목공사업,"중앙(9,10분구)처리구역 하수관로정비사업",조달청,전라북도 전주시,건설공사,2020/08/27 17:07,2020/10/07 00:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,31998472728,34170087000,0
20201007070-00,공사,0002,건축공사업,"청소년 커뮤니티 공간 제2호점 조성 공사(건축,기계)",서울특별시 중랑구,서울특별시 중랑구,건설공사,2020/10/08 21:21,2020/10/14 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],306860000,337546000,16647398
20201007002-00,공사,0002,건축공사업,"남북 1.8 평화센터 건립공사(건축,기계)",인천광역시 강화군,인천광역시 강화군,건설공사,2020/10/08 19:24,2020/10/13 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],1037532728,1141286000,63008386
20201005996-00,공사,0002,건축공사업,연산면 행복드림타운 조성사업(건축),충청남도 논산시,충청남도 논산시,건설공사,2020/10/08 17:16,2020/10/21 14:00:00,2020/10/26 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도],1291981818,1421180000,66972066
20201006228-00,공사,0002,건축공사업,개봉역 북측면 외벽 개량 기타공사,한국철도공사 회계통합센터,한국철도공사 회계통합센터,건설공사,2020/10/08 13:56,2020/10/14 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],423180000,465498000,22725297
20201005912-00,공사,0002,건축공사업,함백농공단지 임대공장 노후시설보강 및 공장 증축공사,강원도 정선군,강원도 정선군,건설공사,2020/10/08 12:43,2020/10/13 09:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 정선군],196381818,216020000,0
20201006051-01,공사,0002,건축공사업,서울바이오허브 글로벌협력동 건립공사,서울특별시,서울특별시,건설공사,2020/10/08 11:47,2020/10/16 10:00:00,2020/10/20 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,19047341818,20952076000,1127739326
20201005490-00,공사,0002,건축공사업,"지혜의 숲 도서관 건립공사(건축,토목,기계)(전체분,1차분)",인천광역시 강화군,인천광역시 강화군,건설공사,2020/10/07 21:04,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],2880310000,3168341000,154910622
20201005363-00,공사,0002,건축공사업,"신락경로당 개방형(대구형)경로당 리모델링공사(건축,기계설비)",대구광역시 북구,대구광역시 북구,건설공사,2020/10/07 18:32,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시],96620910,106283000,0
20201005304-00,공사,0002,건축공사업,청년 창농타운 조성사업 리모델링 공사,전남개발공사,전남개발공사,건설공사,2020/10/07 18:28,2020/10/12 10:00:00,2020/10/23 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,4680465336,5148511869,239048935
20201005154-00,공사,0002,건축공사업,영담 김어수시인 선양사업 생가전시관 조성 건축공사,강원도 영월군,강원도 영월군,건설공사,2020/10/07 17:13,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 영월군],202350910,222586000,0
20201005002-00,공사,0002,건축공사업,발전소 주변지역 지원사업(조양4리 농기계창고 신축공사-건축),강원도 춘천시 동산면,강원도 춘천시 동산면,건설공사,2020/10/07 16:56,2020/10/08 09:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 춘천시],88790910,97670000,0
20201004994-00,공사,0002,건축공사업,개웅중학교 장애인편의시설 설치공사,서울특별시교육청 서울특별시남부교육지원청,서울특별시교육청 서울특별시남부교육지원청,건설공사,2020/10/07 16:36,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],372520000,409772000,0
20201004520-01,공사,0002,건축공사업,학산숲속작은도서관 조성공사(건축),전라북도 전주시,전라북도 전주시,건설공사,2020/10/07 15:00,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도 전주시],146380000,161018000,0
20201003664-00,공사,0002,건축공사업,증평여성회관 승강기 설치공사(건축),충청북도 증평군 시설관리사업소,충청북도 증평군 시설관리사업소,건설공사,2020/10/07 13:09,2020/10/07 14:00:00,2020/10/13 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도 증평군],98612727,108474000,0
20201004169-00,공사,0002,건축공사업,소상공인 청년창업 등 사회적경제통합지원센터 신축공사(건축),충청남도 논산시,충청남도 논산시,건설공사,2020/10/07 11:13,2020/10/20 14:00:00,2020/10/23 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도],1075270909,1182798000,62629002
20201003955-00,공사,0002,건축공사업,(주)참다한바이오 리모델링공사,강원도 정선군,강원도 정선군,건설공사,2020/10/07 10:25,2020/10/12 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 정선군],345297272,379827000,0
20201003697-00,공사,0002,건축공사업,실습장(인큐베이팅 실습실) 건축공사 소액수의 견적제출 안내공고,강원도교육청 홍천농업고등학교,강원도교육청 홍천농업고등학교,건설공사,2020/10/07 09:55,2020/10/07 14:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 춘천시]  [강원도 홍천군],166010909,182612000,0
20201003010-00,공사,0002,건축공사업,개양마을회관 건축공사(단년도 차수),경상남도 창원시,경상남도 창원시,건설공사,2020/10/07 09:11,2020/10/12 00:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 창원시],153520000,168872000,0
20201003743-00,공사,0002,건축공사업,강원국제교육원 조성공사,강원도교육청,강원도교육청,건설공사,2020/10/06 21:02,2020/10/07 10:00:00,2020/10/12 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],1166683636,1283352000,66413985
20201003698-00,공사,0002,건축공사업,성주군청소년문화의집 증축공사(건축.설비),경상북도 성주군,경상북도 성주군,건설공사,2020/10/06 20:29,2020/10/07 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],756890000,832579000,36727397
20201003568-00,공사,0002,건축공사업,대방 굴항 도시재생[대방모두자리(게스트하우스) 조성공사(건축)],경상남도 사천시,경상남도 사천시,건설공사,2020/10/06 18:37,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],465600000,512160000,30980967
20201003440-00,공사,0002,건축공사업,남관생활문화센터 야외무대설치공사,경상북도 청송군,경상북도 청송군,건설공사,2020/10/06 17:40,2020/10/07 10:00:00,2020/10/13 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 청송군],31363630,34500000,0
20201003220-00,공사,0002,건축공사업,[입찰대행]창녕군 먹거리통합지원센터 신축공사,경상남도 창녕군,경상남도 창녕군,건설공사,2020/10/06 16:41,2020/10/07 14:00:00,2020/10/13 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],1803540000,1983894000,81232307
20201003170-00,공사,0002,건축공사업,태인면사무소내진보강공사,전라북도 정읍시,전라북도 정읍시,건설공사,2020/10/06 16:26,2020/10/08 09:00:00,2020/10/12 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도 정읍시],325931818,358525000,0
20201003165-00,공사,0002,건축공사업,영원면사무소내진보강공사,전라북도 정읍시,전라북도 정읍시,건설공사,2020/10/06 16:24,2020/10/08 09:00:00,2020/10/12 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도 정읍시],112272727,123500000,0
20201002890-00,공사,0002,건축공사업,"불로대곡동 행정복지센터 증축 및 리모델링 공사(건축, 기계)",인천광역시 서구,인천광역시 서구,건설공사,2020/10/06 15:45,2020/10/06 18:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],190820700,209902770,0
20201003000-00,공사,0002,건축공사업,연당구곡 지방정원 전망대 설치공사,강원도 영월군,강원도 영월군,건설공사,2020/10/06 15:37,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 영월군],215578182,237136000,0
20201002886-00,공사,0002,건축공사업,보건소 선별진료소 구축공사,강원도 양양군,강원도 양양군,건설공사,2020/10/06 15:01,2020/10/07 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도 양양군],84364545,92801000,0
20201002675-00,공사,0002,건축공사업,"2020 연수구 빈집정비공사(건축,기계)",인천광역시 연수구,인천광역시 연수구,건설공사,2020/10/06 14:01,2020/10/06 16:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시 중구]  [인천광역시 동구]  [인천광역시 남구]  [인천광역시 미추홀구]  [인천광역시 연수구]  [인천광역시 남동구]  [인천광역시 부평구]  [인천광역시 계양구]  [인천광역시 서구],47214546,51936000,0
20200930183-02,공사,0002,건축공사업,양지노인마을 증축공사,사회복지법인 계명복지재단 양지노인마을,사회복지법인 계명복지재단 양지노인마을,건설공사,2020/10/06 13:51,2020/10/06 14:00:00,2020/10/12 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],463849000,510234000,42052376
20201002213-00,공사,0002,건축공사업,"비전2동 매봉경로당 신축공사(건축,기계)",경기도 평택시,경기도 평택시,건설공사,2020/10/06 10:09,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 평택시],216330000,237963000,0
20201000808-00,공사,0002,건축공사업,(장기계속 총차)도시과학기술고 급식실 및 학생식당 증축 공사,서울특별시교육청 서울특별시성북강북교육지원청,서울특별시교육청 서울특별시성북강북교육지원청,건설공사,2020/10/06 08:46,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],1641100909,1805211000,93866158
