입찰공고번호,업무,업종코드,업종명,공고명,공고기관,수요기관,WTO품목번호,게시일시,입찰개시일시,입찰마감일시,예가방법,추첨번호공개여부,지역제한,참가가능지역,추정가격,기초금액,A값
20201005147-00,공사,0003,토목건축공사업,온양 하대 양달교 재가설공사,울산광역시 울주군,울산광역시 울주군,건설공사,2020/10/07 17:14,2020/10/08 11:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[울산광역시],976218182,1073840000,61329216
20201005141-00,공사,0003,토목건축공사업,의신면 돈지리 백구공원 무대 보수공사(건축),전라남도 진도군,전라남도 진도군,건설공사,2020/10/07 17:11,2020/10/08 10:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 진도군],111668181,122835000,0
20201005006-00,공사,0003,토목건축공사업,"양평읍 대흥3리 마을회관 증축공사(건축,기계)",경기도 양평군,경기도 양평군,건설공사,2020/10/07 17:05,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 양평군],108945455,119840000,0
20201005113-00,공사,0003,토목건축공사업,남성여자고등학교 외부창호교체 및 기타공사,부산광역시교육청 남성여자고등학교,부산광역시교육청 남성여자고등학교,건설공사,2020/10/07 17:05,2020/10/08 09:00:00,2020/10/13 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[부산광역시],813390910,894730000,40338815
20201005032-00,공사,0003,토목건축공사업,"양평읍 백안4리 마을회관 증축공사(건축,기계)",경기도 양평군,경기도 양평군,건설공사,2020/10/07 16:59,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 양평군],101926800,112119480,0
20201005067-00,공사,0003,토목건축공사업,무풍면 농촌중심지 활성화사업 토목건축기계공사,한국농어촌공사 전북지역본부 무진장지사,한국농어촌공사 전북지역본부 무진장지사,건설공사,2020/10/07 16:53,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],2158170000,2373987000,135477025
20201004985-01,공사,0003,토목건축공사업,2020년 화성시 서남부권 도로 유지보수 단가공사,경기도 화성시,경기도 화성시,건설공사,2020/10/07 16:43,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],62290910,68520000,25008147
20201004925-00,공사,0003,토목건축공사업,청송군의회청사 건립 및 군청사주차장 확충공사,경상북도 청송군,경상북도 청송군,건설공사,2020/10/07 16:40,2020/10/08 10:00:00,2020/10/16 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도],3435454540,3779000000,206770094
20201003700-00,공사,0003,토목건축공사업,가족의 섬 우도 민박 화장실 신축공사,전라남도 고흥군,전라남도 고흥군,건설공사,2020/10/07 16:32,2020/10/08 12:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 고흥군],27272728,30000000,0
20201003077-00,공사,0003,토목건축공사업,천현동 주민센터 진입도로(소로1-305호선) 개설공사 수의견적 제출안내,경기도 하남시,경기도 하남시,건설공사,2020/10/07 16:29,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 하남시],280375455,308413000,0
20201004968-00,공사,0003,토목건축공사업,코로나19 발열체크검역소 철거 및 자재 보관창고 신축공사,충청남도 보령시,충청남도 보령시,건설공사,2020/10/07 16:28,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 보령시],115298181,126828000,0
20201004958-00,공사,0003,토목건축공사업,의령읍 서동 공영주차장 조성사업,경상남도 의령군,경상남도 의령군,건설공사,2020/10/07 16:25,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 의령군],166254546,182880000,0
20201003770-00,공사,0003,토목건축공사업,지방도 855호선 폐도부지 소공원 조성공사,전라남도 고흥군,전라남도 고흥군,건설공사,2020/10/07 16:24,2020/10/08 12:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도 고흥군],63490909,69840000,0
20201004947-00,공사,0003,토목건축공사업,서구 근대역사 흔적길 조성공사(시설),부산광역시 서구,부산광역시 서구,건설공사,2020/10/07 16:22,2020/10/13 10:00:00,2020/10/15 15:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[부산광역시],459000000,504900000,23202111
20201004884-00,공사,0003,토목건축공사업,대덕면사무소 부속동 증축공사,경상북도 김천시,경상북도 김천시,건설공사,2020/10/07 16:04,2020/10/12 12:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 김천시],70063637,77070000,0
20201004122-01,공사,0003,토목건축공사업,건설기계 부품시험동 건축공사,한국교통안전공단 자동차안전연구원,한국교통안전공단 자동차안전연구원,건설공사,2020/10/07 15:38,2020/10/15 09:00:00,2020/10/19 11:00:00,복수예가 : 3 (추첨예가) / 10 (총예가),비공개,투찰제한,[경기도],1309570000,1440527000,67318965
20201004739-00,공사,0003,토목건축공사업,목포시의료원 주차장 조성공사(토목),목포시의료원,목포시의료원,건설공사,2020/10/07 15:23,2020/10/08 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],455254546,500780000,23882811
20201004648-01,공사,0003,토목건축공사업,친환경농업 교육관 신축공사 입찰공고,충청북도 음성군 농업기술센터,충청북도 음성군 농업기술센터,건설공사,2020/10/07 15:03,2020/10/07 15:05:00,2020/10/14 15:05:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],2452190000,2697409000,131544553
20201004665-00,공사,0003,토목건축공사업,연천군청소년수련관 장애인편의시설(승강기)설치공사,경기도 연천군 통일평생교육원,경기도 연천군 통일평생교육원,건설공사,2020/10/07 14:55,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 연천군],104744546,115219000,0
20201004424-00,공사,0003,토목건축공사업,조종중고 특별교실 증축공사(장기계속계약),경기도교육청 경기도가평교육지원청,경기도교육청 경기도가평교육지원청,건설공사,2020/10/07 14:41,2020/10/08 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도],1081930000,1190123000,62242458
20201003678-00,공사,0003,토목건축공사업,물의거리 정비사업 전자입찰 공고,전라북도 부안군,전라북도 부안군,건설공사,2020/10/07 14:19,2020/10/07 18:00:00,2020/10/14 11:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],440723637,484796000,24785326
20201004472-00,공사,0003,토목건축공사업,봉남3리 진입로 확장공사(1차구간),경기도 평택시 송탄출장소,경기도 평택시 송탄출장소,건설공사,2020/10/07 14:06,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 평택시],132523005,145743000,0
20201004107-00,공사,0003,토목건축공사업,오정중 보차도 분리 및 기타공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,건설공사,2020/10/07 14:00,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],100629091,110692000,0
20201004414-00,공사,0003,토목건축공사업,지방도460호 동촌42지구 급경사지 붕괴위험지역 정비사업,강원도,강원도 도로관리사업소 북부지소,건설공사,2020/10/07 13:50,2020/10/08 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[강원도],4845747273,5564380000,223636610
20201003986-00,공사,0003,토목건축공사업,알루미늄 소형선박 개발지원센터 신축공사(건축),(재)중소조선연구원,(재)중소조선연구원,건설공사,2020/10/07 13:39,2020/10/12 00:00:00,2020/10/16 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],863240000,949564000,55768976
20201004040-00,공사,0003,토목건축공사업,산흥초 보차도 분리공사,대전광역시교육청 대전광역시동부교육지원청,대전광역시교육청 대전광역시동부교육지원청,건설공사,2020/10/07 13:37,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대전광역시],85742727,94317000,0
20201004302-00,공사,0003,토목건축공사업,울산 북구 양정 자동차테마거리 조성 토목공사,(재)부산디자인진흥원,(재)부산디자인진흥원,건설공사,2020/10/07 12:59,2020/10/09 10:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[울산광역시],336454546,370100000,20094916
20201003512-00,공사,0003,토목건축공사업,논공읍 하리 871번지 일원 우수관로 설치공사,대구광역시 달성군,대구광역시 달성군,건설공사,2020/10/07 11:41,2020/10/08 15:00:00,2020/10/14 15:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[대구광역시 달성군],180200000,198220000,0
20201003717-00,공사,0003,토목건축공사업,황간 남성근린공원 진입로 확장공사 소액수의 견적제출 안내 공고,충청북도 영동군,충청북도 영동군,건설공사,2020/10/07 11:34,2020/10/08 12:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도 영동군],148636363,163500000,0
20201003686-00,공사,0003,토목건축공사업,안화리(군도24호선) 진입로 개설공사 입찰 안내 공고,충청북도 영동군,충청북도 영동군,건설공사,2020/10/07 11:25,2020/10/08 12:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],849690909,934660000,50209946
20201004204-00,공사,0003,토목건축공사업,영종~청라 연결도로(제3연륙교) 건설공사 제3공구,인천광역시 경제자유구역청,인천광역시 경제자유구역청,건설공사,2020/10/07 11:24,2020/10/07 14:00:00,2020/11/09 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,공고서 참조,,10651000000,11716100000,431396790
20201002875-00,공사,0003,토목건축공사업,(긴급)서울국제고 교사동 장애인편의시설 설치공사,서울특별시교육청 서울특별시중부교육지원청,서울특별시교육청 서울특별시중부교육지원청,건설공사,2020/10/07 11:20,2020/10/12 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],341480909,375629000,0
20201004071-00,공사,0003,토목건축공사업,"여흥초병설유치원 창고 및 담장 철거, 휀스 설치 공사",경기도교육청 경기도여주교육지원청 여흥초등학교,경기도교육청 경기도여주교육지원청 여흥초등학교,건설공사,2020/10/07 10:43,2020/10/07 16:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경기도 여주시]  [경기도 이천시]  [경기도 양평군],43570000,47927000,0
20201004079-00,공사,0003,토목건축공사업,인천미추홀경찰서 숭의지구대 신축공사(건축+기계),경찰청 인천광역시지방경찰청,경찰청 인천광역시지방경찰청,건설공사,2020/10/07 10:40,2020/10/07 14:00:00,2020/10/14 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],589824092,648806500,38180933
20201004048-00,공사,0003,토목건축공사업,쌍암 마을만들기사업(자율개발) 토목건축공사,한국농어촌공사 전북지역본부 순창지사,한국농어촌공사 전북지역본부 순창지사,건설공사,2020/10/07 10:30,2020/10/08 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],290938181,320032000,15041120
20201003161-00,공사,0003,토목건축공사업,글로벌 문화센터 조성사업(건축) 입찰 공고,울산광역시 동구,울산광역시 동구,건설공사,2020/10/07 10:18,2020/10/08 10:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[울산광역시],1122400000,1234640000,70939144
20201003382-00,공사,0003,토목건축공사업,봉학소하천 정비공사,경상북도 칠곡군,경상북도 칠곡군,건설공사,2020/10/07 10:05,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 칠곡군],313909091,345300000,0
20201003982-00,공사,0003,토목건축공사업,[보조사업대행]2020년 신선농산물 수출경쟁력제고사업,경상북도 상주시,경상북도 상주시,건설공사,2020/10/07 10:02,2020/10/07 15:00:00,2020/10/13 15:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 상주시],76090909,83700000,0
20201003538-00,공사,0003,토목건축공사업,(긴급)도깨비 권역단위종합개발사업 토목건축공사,한국농어촌공사 충남지역본부 공주지사,한국농어촌공사 충남지역본부 공주지사,건설공사,2020/10/07 09:27,2020/10/07 15:00:00,2020/10/13 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도],1549310000,1704237000,80678140
20201003472-00,공사,0003,토목건축공사업,인천가정초등학교 다목적강당 및 급식소 증축공사 입찰 공고(계속비공사),인천광역시교육청 인천광역시서부교육지원청,인천광역시교육청 인천광역시서부교육지원청,건설공사,2020/10/07 09:27,2020/10/08 10:00:00,2020/10/23 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[인천광역시],2798010000,3077811000,166939257
20201003805-00,공사,0003,토목건축공사업,"군도9호선(의신 영산) 위험도로 개선사업(총괄분,1차분)",전라남도 진도군,전라남도 진도군,건설공사,2020/10/07 09:27,2020/10/08 10:00:00,2020/10/13 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라남도],650427272,715470000,38482311
